komnr;NUTS3_komnr
301;NO081
1101;NO0A1
1103;NO0A1
1106;NO0A1
1108;NO0A1
1111;NO0A1
1112;NO0A1
1114;NO0A1
1119;NO0A1
1120;NO0A1
1121;NO0A1
1122;NO0A1
1124;NO0A1
1127;NO0A1
1130;NO0A1
1133;NO0A1
1134;NO0A1
1135;NO0A1
1144;NO0A1
1145;NO0A1
1146;NO0A1
1149;NO0A1
1151;NO0A1
1160;NO0A1
1505;NO0A3
1506;NO0A3
1507;NO0A3
1511;NO0A3
1514;NO0A3
1515;NO0A3
1516;NO0A3
1517;NO0A3
1520;NO0A3
1525;NO0A3
1528;NO0A3
1531;NO0A3
1532;NO0A3
1535;NO0A3
1539;NO0A3
1547;NO0A3
1554;NO0A3
1557;NO0A3
1560;NO0A3
1563;NO0A3
1566;NO0A3
1573;NO0A3
1576;NO0A3
1577;NO0A3
1578;NO0A3
1579;NO0A3
1804;NO071
1806;NO071
1811;NO071
1812;NO071
1813;NO071
1815;NO071
1816;NO071
1818;NO071
1820;NO071
1822;NO071
1824;NO071
1825;NO071
1826;NO071
1827;NO071
1828;NO071
1832;NO071
1833;NO071
1834;NO071
1835;NO071
1836;NO071
1837;NO071
1838;NO071
1839;NO071
1840;NO071
1841;NO071
1845;NO071
1848;NO071
1851;NO071
1853;NO071
1856;NO071
1857;NO071
1859;NO071
1860;NO071
1865;NO071
1866;NO071
1867;NO071
1868;NO071
1870;NO071
1871;NO071
1874;NO071
1875;NO071
2100;NO0B2
2211;NO0B1
3001;NO082
3002;NO082
3003;NO082
3004;NO082
3005;NO082
3006;NO082
3007;NO082
3011;NO082
3012;NO082
3013;NO082
3014;NO082
3015;NO082
3016;NO082
3017;NO082
3018;NO082
3019;NO082
3020;NO082
3021;NO082
3022;NO082
3023;NO082
3024;NO082
3025;NO082
3026;NO082
3027;NO082
3028;NO082
3029;NO082
3030;NO082
3031;NO082
3032;NO082
3033;NO082
3034;NO082
3035;NO082
3036;NO082
3037;NO082
3038;NO082
3039;NO082
3040;NO082
3041;NO082
3042;NO082
3043;NO082
3044;NO082
3045;NO082
3046;NO082
3047;NO082
3048;NO082
3049;NO082
3050;NO082
3051;NO082
3052;NO082
3053;NO082
3054;NO082
3401;NO020
3403;NO020
3405;NO020
3407;NO020
3411;NO020
3412;NO020
3413;NO020
3414;NO020
3415;NO020
3416;NO020
3417;NO020
3418;NO020
3419;NO020
3420;NO020
3421;NO020
3422;NO020
3423;NO020
3424;NO020
3425;NO020
3426;NO020
3427;NO020
3428;NO020
3429;NO020
3430;NO020
3431;NO020
3432;NO020
3433;NO020
3434;NO020
3435;NO020
3436;NO020
3437;NO020
3438;NO020
3439;NO020
3440;NO020
3441;NO020
3442;NO020
3443;NO020
3446;NO020
3447;NO020
3448;NO020
3449;NO020
3450;NO020
3451;NO020
3452;NO020
3453;NO020
3454;NO020
3801;NO091
3802;NO091
3803;NO091
3804;NO091
3805;NO091
3806;NO091
3807;NO091
3808;NO091
3811;NO091
3812;NO091
3813;NO091
3814;NO091
3815;NO091
3816;NO091
3817;NO091
3818;NO091
3819;NO091
3820;NO091
3821;NO091
3822;NO091
3823;NO091
3824;NO091
3825;NO091
4201;NO092
4202;NO092
4203;NO092
4204;NO092
4205;NO092
4206;NO092
4207;NO092
4211;NO092
4212;NO092
4213;NO092
4214;NO092
4215;NO092
4216;NO092
4217;NO092
4218;NO092
4219;NO092
4220;NO092
4221;NO092
4222;NO092
4223;NO092
4224;NO092
4225;NO092
4226;NO092
4227;NO092
4228;NO092
4601;NO0A2
4602;NO0A2
4611;NO0A2
4612;NO0A2
4613;NO0A2
4614;NO0A2
4615;NO0A2
4616;NO0A2
4617;NO0A2
4618;NO0A2
4619;NO0A2
4620;NO0A2
4621;NO0A2
4622;NO0A2
4623;NO0A2
4624;NO0A2
4625;NO0A2
4626;NO0A2
4627;NO0A2
4628;NO0A2
4629;NO0A2
4630;NO0A2
4631;NO0A2
4632;NO0A2
4633;NO0A2
4634;NO0A2
4635;NO0A2
4636;NO0A2
4637;NO0A2
4638;NO0A2
4639;NO0A2
4640;NO0A2
4641;NO0A2
4642;NO0A2
4643;NO0A2
4644;NO0A2
4645;NO0A2
4646;NO0A2
4647;NO0A2
4648;NO0A2
4649;NO0A2
4650;NO0A2
4651;NO0A2
5001;NO060
5006;NO060
5007;NO060
5014;NO060
5020;NO060
5021;NO060
5022;NO060
5025;NO060
5026;NO060
5027;NO060
5028;NO060
5029;NO060
5031;NO060
5032;NO060
5033;NO060
5034;NO060
5035;NO060
5036;NO060
5037;NO060
5038;NO060
5041;NO060
5042;NO060
5043;NO060
5044;NO060
5045;NO060
5046;NO060
5047;NO060
5049;NO060
5052;NO060
5053;NO060
5054;NO060
5055;NO060
5056;NO060
5057;NO060
5058;NO060
5059;NO060
5060;NO060
5061;NO0A3
5401;NO074
5402;NO074
5403;NO074
5404;NO074
5405;NO074
5406;NO074
5411;NO074
5412;NO074
5413;NO074
5414;NO074
5415;NO074
5416;NO074
5417;NO074
5418;NO074
5419;NO074
5420;NO074
5421;NO074
5422;NO074
5423;NO074
5424;NO074
5425;NO074
5426;NO074
5427;NO074
5428;NO074
5429;NO074
5430;NO074
5432;NO074
5433;NO074
5434;NO074
5435;NO074
5436;NO074
5437;NO074
5438;NO074
5439;NO074
5440;NO074
5441;NO074
5442;NO074
5443;NO074
5444;NO074
