handelsvarakod;atc_kod
"";QJ01XX91
"";QJ01AA06
"";QJ01AA06
VET00;QJ01AA06
PEN00;QJ01CE09
PEN00;QJ01CE09
PEN00;QJ01CE09
PEN00;QJ01CE09
"";QJ01CE01
"";QJ01CE01
"";QJ01CE01
"";QJ01CE01
"";QJ01CE01
BOR00;QJ01EW13
"";QJ01EW13
"";QJ01EW13
SPI00;QJ01FA02
SPI00;QJ01FA02
SPI00;QJ01FA02
"";QJ01AA06
STR00;QJ01RA01
STR00;QJ01RA01
STR00;QJ01RA01
BAY90;QJ01MA90
"";QJ01MA90
BAY00;QJ01MA90
BAY01;QJ01MA90
BAY01;QJ01MA90
"";QJ01MA90
"";QJ01MA90
"";QJ01MA90
TYL52;QJ01FA90
TYL01;QJ01FA90
TYL01;QJ01FA90
TYL01;QJ01FA90
TYL01;QJ01FA90
"";QJ01FA90
"";QJ01FA90
TYL50;QJ01FA90
TYL50;QJ01FA90
TYL51;QJ01FA90
TYL51;QJ01FA90
"";QJ01RA01
"";QJ01RA01
HIP40;QJ01EW10
HIP40;QJ01EW10
HIP40;QJ01EW10
HIP40;QJ01EW10
HIP00;QJ01EW10
HIP00;QJ01EW10
"";QJ01EW10
TRI40;QJ01EW10
TRI40;QJ01EW10
3128;QJ01DB05
3129;QJ01DB05
"";QJ01EW10
"";QJ01CE09
"";QJ01CE09
TIA90;QJ01XX92
TIA90;QJ01XX92
TIA00;QJ01XX92
TIA00;QJ01XX92
TIA50;QJ01XX92
TIA50;QJ01XX92
ETC00;QJ01RA01
ETC00;QJ01RA01
ETC00;QJ01RA01
ETC00;QJ01RA01
"";QJ01AA06
TER50;QJ01AA06
TER50;QJ01AA06
"";QJ01AA06
"";QJ01AA06
TRI00;QJ01EW10
TRI00;QJ01EW10
ETH00;QJ01CE09
ETH00;QJ01CE09
ETH00;QJ01CE09
ETH00;QJ01CE09
5947;QJ01CE02
5948;QJ01CE02
5949;QJ01CE02
5950;QJ01CE02
ENG00;QJ01AA06
ENG00;QJ01AA06
ENG00;QJ01AA06
ENG00;QJ01AA06
6090;QJ01FF01
6091;QJ01FF01
6092;QJ01FF01
6093;QJ01FF01
6094;QJ01FF01
6095;QJ01FF01
EXE00;QJ01DD90
EXE01;QJ01DD90
AMP20;QJ01CA01
AMP20;QJ01CA01
AMP20;QJ01CA01
6755;QJ01CR02
6756;QJ01CR02
6757;QJ01CR02
6758;QJ01CR02
6759;QJ01CR02
GEN00;QJ01GB03
GEN00;QJ01GB03
"";QJ01AA03
"";QJ01AA03
"";QJ01AA03
BIM00;QJ01EW13
BIM00;QJ01EW13
BIM00;QJ01EW13
TIN50;QJ01EW10
TIN50;QJ01EW10
"";QJ01AA06
"";QJ01AA06
7931;QJ01CA04
7932;QJ01CA04
7933;QJ01CA04
7934;QJ01CA04
7935;QJ01CA04
8117;QJ01AA02
8118;QJ01AA02
8119;QJ01AA02
8662;QJ01FF01
8663;QJ01FF01
8664;QJ01FF01
8665;QJ01FF01
8666;QJ01FF01
8667;QJ01FF01
8668;QJ01DA01
8669;QJ01DA01
8670;QJ01DA01
BYL00;QJ01CA04
BYL00;QJ01CA04
ADV00;QJ01MA92
ADV00;QJ01MA92
"";QJ01MA92
"";QJ01MA92
TET00;QJ01AA06
TET00;QJ01AA06
PEN00;QJ01CE09
STR00;QJ01RA01
"";QJ01CE09
GEE91;QJ01CE01
GEE91;QJ01CE01
GEE90;QJ01CE01
GEE90;QJ01CE01
"";QJ01EW13
HIP00;QJ01EW10
ETC00;QJ01RA01
TER50;QJ01AA06
ETH00;QJ01CE09
ETH00;QJ01CE09
ENG00;QJ01AA06
ENG00;QJ01AA06
